airport_name,iata_code,icao_code,latitude,longitude,gmt,country_iso2
Anaa,AAA,NTGA,-17.05,-145.41667,-10,PF
Arrabury,AAB,YARY,-26.7,141.04167,10,AU
El Arish International Airport,AAC,HEAR,31.133333,33.75,2,EG
Les Salines,AAE,DABB,36.821392,7.811857,1,DZ
Apalachicola Regional,AAF,KAAF,29.733334,-84.98333,-5,US
Arapoti,AAG,SSYA,-24.103611,-49.79,-3,BR
Aachen/Merzbruck,AAH,EDKA,50.75,6.133333,1,DE
Arraias,AAI,SWRA,-12.916667,-46.933334,-3,BR
Aranuka,AAK,NGUK,0.166667,173.58333,12,KI
Aalborg,AAL,EKYT,57.08655,9.872241,1,DK
Mala Mala,AAM,FAMD,-24.8,31.533333,2,ZA
Al Ain,AAN,OMAL,24.260231,55.616627,4,AE
Anapa,AAQ,URKA,44.9,37.316666,3,RU
Aarhus Airport,AAR,EKAH,56.30823,10.626351,1,DK
Altay,AAT,ZWAT,47.750362,88.08444,8,CN
Araxa,AAX,SBAX,-19.568056,-46.92917,-3,BR
Al Ghaydah,AAY,OYGD,16.19596,52.173256,3,YE
Quetzaltenango,AAZ,MGQZ,14.87,-91.5,-6,GT
Abakan,ABA,UNAA,53.716667,91.5,7,RU
Asaba International,ABB,DNAS,6.203333,6.65888,1,NG
Los Llanos,ABC,LEAB,38.948334,-1.863333,1,ES
Abadan,ABD,OIAA,30.363905,48.226597,3.30,IR
Lehigh Valley International,ABE,KABE,40.651573,-75.434364,-5,US
Alpha,ABH,YAPH,-23.65,146.63333,10,AU
Municipal,ABI,KABI,32.409443,-99.679726,-6,US
Felix Houphouet Boigny,ABJ,DIAP,5.254879,-3.933015,,CI
Kabri Dar,ABK,HADK,6.733889,44.26611,3,ET
Ambler,ABL,PAFM,67.0875,-157.84584,-9,US
Bamaga Injinoo,ABM,YBAM,-10.942619,142.45033,10,AU
Aboisso,ABO,DIAO,5.433333,-3.216667,,CI
Albuquerque International,ABQ,KABQ,35.049625,-106.617195,-7,US
Municipal,ABR,KABR,45.4525,-98.42611,-6,US
Abu Simbel,ABS,HEBL,22.367567,31.609774,2,EG
Al-Aqiq,ABT,OEBA,20.29401,41.64002,3,SA
Atambua,ABU,WATA,-9.133333,124.88333,8,ID
Nnamdi Azikiwe International Airport,ABV,DNAA,9.004614,7.270447,1,NG
Albury,ABX,YMAY,-36.069626,146.95453,10,AU
Dougherty County,ABY,KABY,31.532223,-84.19611,-5,US
Dyce,ABZ,EGPD,57.200253,-2.204186,,GB
General Juan N. Alvarez International,ACA,MMAA,16.762403,-99.75459,-6,MX
Antrim County,ACB,KACB,44.983334,-85.21667,-5,US
Kotoka,ACC,DGAA,5.60737,-0.171769,,GH
Acandi,ACD,SKAD,8.516667,-77.3,-5,CO
Lanzarote,ACE,GCRR,28.950668,-13.609059,,ES
Altenrhein,ACH,LSZR,47.483334,9.566667,1,CH
The Blaye,ACI,EGJA,49.709347,-2.215369,,GG
Anuradhapura,ACJ,VCCA,8.35,80.38333,5.30,LK
Nantucket Memorial,ACK,KACK,41.256668,-70.05972,-5,US
Ciudad Acuña International Airport,ACN,MMCC,29.3,-100.916664,-6,MX
Sahand,ACP,OITM,37.347244,46.145115,3.30,IR
Araracuara,ACR,SKAC,-0.383333,-72.3,-5,CO
Achinsk,ACS,UNKS,56.266666,90.566666,7,RU
Municipal,ACT,KACT,31.609133,-97.22321,-6,US
Arcata,ACV,KACV,40.970913,-124.106926,-8,US
Atlantic City International,ACY,KACY,39.450703,-74.572235,-5,US
Zabol Airport,ACZ,OIZB,31.087694,61.542244,3.30,IR
Adana,ADA,LTAF,36.98503,35.29736,3,TR
Adnan Menderes Airport,ADB,LTBJ,38.294403,27.147594,3,TR
Bole International,ADD,HAAB,8.983759,38.7959,3,ET
Aden International Airport,ADE,OYAA,12.826116,45.037537,3,YE
Adiyaman,ADF,LTCP,37.75,38.266666,3,TR
Lenawee County,ADG,KADG,41.9,-84.03333,-5,US
Aldan,ADH,UEEA,58.6,125.4,9,RU
Arandis,ADI,FYAR,-22.4,15,2,NA
Marka International Airport,ADJ,OJAM,31.97533,35.98277,2,JO
Adak Island Ns,ADK,PADK,51.88278,-176.64473,-10,US
Adelaide International Airport,ADL,YPAD,-34.938175,138.53735,9.30,AU
Ardmore Municipal Airport,ADM,KADM,34.303055,-97.01945,-6,US
Andamooka,ADO,YAMK,-31.016666,137.15,9.30,AU
Kodiak Airport,ADQ,PADQ,57.755276,-152.51297,-9,US
Andrews,ADR,KPHH,33.45,-79.566666,-5,US
Addison Airport,ADS,KADS,32.783333,-97.3,-6,US
Ada Municipal,ADT,KADH,34.8,-96.666664,-6,US
Ardabil,ADU,OITL,38.323826,48.42125,3.30,IR
Leuchars,ADX,EGQL,56.36667,-2.866667,,GB
Alldays,ADY,FAAL,-22.666668,29.05,2,ZA
San Andres Island,ADZ,SKSP,12.586047,-81.70221,-5,CO
Abemama Atoll,AEA,NGTB,0.483333,173.85,12,KI
Aek Godang,AEG,WIME,1.399722,99.416664,7,ID
Abéché,AEH,FTTC,13.851389,20.850834,1,TD
Albert Lea,AEL,KAEL,43.65,-93.36667,-6,US
Aioun El Atrouss,AEO,GQNA,16.709167,-9.635556,,MR
Aeroparque Jorge Newbery,AEP,SABE,-34.55622,-58.41667,-3,AR
Sochi/Adler International Airport,AER,URSS,43.44884,39.941105,3,RU
Vigra,AES,ENAL,62.559643,6.116605,1,NO
Allakaket,AET,PFAL,66.56167,-152.65834,-9,US
Abu Musa,AEU,OIBA,25.8875,55.041668,3.30,IR
Alexandria International,AEX,KAEX,31.321268,-92.53958,-6,US
Akureyri,AEY,BIAR,65.654564,-18.075068,,IS
San Rafael,AFA,SAMR,-34.58917,-68.40056,-3,AR
Port Alfred,AFD,FAPA,-33.583332,26.883333,2,ZA
USAF Academy Airstrip,AFF,KAFF,38.833332,-104.7,-7,US
Amalfi,AFI,SKAM,6.916667,-75.066666,-5,CO
Alta Floresta,AFL,SBAT,-9.872456,-56.104767,-4,BR
Municipal,AFN,KAFN,42.833332,-72.066666,-5,US
Municipal,AFO,KAFO,42.733334,-110.933334,-7,US
Zarafshan,AFS,UTSN,41.61361,64.233055,5,UZ
Afutara Aerodrome,AFT,AGAF,-9.2,160.85,11,SB
Fort Worth Alliance,AFW,KAFW,32.986668,-97.316666,-6,US
Afyon,AFY,LTAH,38.733334,30.6,3,TR
Sabzevar,AFZ,OIMS,36.171513,57.60332,3.30,IR
Agadir Almassira,AGA,GMAD,30.378326,-9.555895,,MA
Augsburg - Muehlhausen,AGB,EDMA,48.425278,10.931667,1,DE
Allegheny County,AGC,KAGC,40.35472,-79.93,-5,US
La Garenne,AGF,LFBA,44.17361,0.598611,1,FR
Angelholm,AGH,ESDB,56.293056,12.8625,1,SE
Wageningen,AGI,SMWA,5.833333,-56.833332,-3,SR
Aguni,AGJ,RORA,26.589722,127.23805,9,JP
Wanigela,AGL,AYWG,-9.340278,149.15527,10,PG
Tasiilaq,AGM,BGAM,65.6,-37.683334,-3,GL
Angoon,AGN,PAGN,57.503887,-134.58333,-9,US
Municipal,AGO,KAGO,33.266666,-93.23333,-6,US
Pablo Ruiz Picasso,AGP,LEMG,36.675182,-4.489616,1,ES
Kheria,AGR,VIAG,27.158333,77.962776,5.30,IN
Bush Field,AGS,KAGS,33.373665,-81.973434,-5,US
Alejo Garcia,AGT,SGES,-25.5,-54.833332,-4,PY
Aguascalients,AGU,MMAS,21.701416,-102.31374,-6,MX
Acarigua,AGV,SVAC,9.552222,-69.23333,-4,VE
Agatti Island,AGX,VOAT,10.828967,72.17987,5.30,IN
Aggeneys,AGZ,FAAG,-29.05,18.85,2,ZA
Abha,AHB,OEAB,18.23429,42.657574,3,SA
Downtown,AHD,K1F0,34.166668,-97.13333,-6,US
Ahe Airport,AHE,NTHE,-14.428056,-146.25694,-10,PF
Municipal,AHH,KAHH,45.3,-92.35,-6,US
Amahai,AHI,WAPA,-3.333333,128.91667,9,ID
Aishalton,AHL,SYAH,2.483333,-59.316666,-4,GY
Athens-Ben Epps,AHN,KAHN,33.95195,-83.32472,-5,US
Fertilia,AHO,LIEA,40.630405,8.295891,1,IT
Ahuas,AHS,MHAH,15.441667,-84.425,-6,HN
Charif Al Idrissi,AHU,GMTA,35.17972,-3.836944,,MA
Alpe D Huez,AHZ,LFHU,45.083332,6.083333,1,FR
Alliance,AIA,KAIA,42.051666,-102.80666,-7,US
Municipal,AID,KAID,40.166668,-85.683334,-5,US
Assis,AIF,SNAX,-22.666668,-50.416668,-3,BR
Yalinga,AIG,FEFY,6.516667,23.25,1,CF
Alisabieh,AII,HDAS,11.15,42.716667,3,DJ
Municipal,AIK,KAIK,33.566666,-81.71667,-5,US
Wainwright,AIN,PAWT,70.63333,-160.03334,-9,US
Municipal,AIO,KAIO,41.4,-95.01667,-6,US
Aripuana,AIR,SWRP,-10.25,-59.38333,-4,BR
Arorae Island,AIS,NGTR,-2.65,176.83333,12,KI
Aitutaki,AIT,NCAI,-18.829443,-159.767,-10,CK
Atiu Island,AIU,NCAT,-20.033333,-158.1,-10,CK
George Downer,AIV,KAIV,33.13333,-88.15,-6,US
Lee C Fine Memorial,AIZ,KAIZ,38.09833,-92.54722,-6,US
Campo Dell Oro,AJA,LFKJ,41.91987,8.794013,1,FR
Jouf,AJF,OESK,29.788668,40.101486,3,SA
Agri,AJI,LTCO,39.65,43.025,3,TR
Akjoujt,AJJ,GQNJ,19.730556,-14.374444,,MR
Araak,AJK,OIHR,34.13333,49.833332,3.30,IR
Aizawl,AJL,VEAZ,23.838985,92.62482,5.30,IN
Ouani,AJN,FMCV,-12.126389,44.42972,3,KM
Arvidsjaur,AJR,ESNX,65.59139,19.285557,1,SE
Santa Maria,AJU,SBAR,-10.987206,-37.072792,-3,BR
Agades,AJY,DRZA,16.964167,7.993056,1,NE
Ankang,AKA,ZLAK,32.7091,108.936,8,CN
Atka,AKB,PAAK,52.21722,-174.20084,-10,US
Fulton International,AKC,KAKR,41.04,-81.46778,-5,US
Akola,AKD,VAAK,20.666668,77.083336,5.30,IN
Kufrah,AKF,HLKF,24.2,23.333332,2,LY
Prince Sultan Air Base,AKH,OEPS,24.063334,47.580555,3,SA
Akiak,AKI,PFAK,60.905556,-161.22333,-9,US
Asahikawa,AKJ,RJEC,43.67109,142.45454,9,JP
Akhiok SPB,AKK,PAKH,56.944443,-154.16667,-9,US
Auckland International,AKL,NZAA,-37.004787,174.78352,12,NZ
King Salmon,AKN,PAKN,58.68274,-156.66902,-9,US
Colorado Plains Regional Airport,AKO,KAKO,40.166668,-103.21667,-7,US
Anaktuvuk,AKP,PAKP,68.1375,-151.74,-9,US
Akure,AKR,DNAK,7.25,5.083333,1,NG
Gwaunaru'u,AKS,AGGA,-8.697778,160.68083,11,SB
Raf Akrotiri,AKT,LCRA,34.583332,32.983334,2,CY
Aksu,AKU,ZWAK,41.259983,80.29262,8,CN
Akulivik,AKV,CYKO,60.733334,-78.583336,-5,CA
Aktyubinsk,AKX,UATT,50.249336,57.211403,5,KZ
Civil,AKY,VYSW,20.130278,92.88028,6.30,MM
Almaty,ALA,UAAA,43.346653,77.01145,6,KZ
Albany International,ALB,KALB,42.745277,-73.809555,-5,US
Alicante El Altet,ALC,LEAL,38.287098,-0.557381,1,ES
Alerta,ALD,SPAR,-11.683333,-69.333336,-5,PE
Alpine,ALE,KE38,30.416668,-103.75,-6,US
Alta,ALF,ENAT,69.977165,23.355808,1,NO
Houari Boumediene,ALG,DAAG,36.70058,3.21167,1,DZ
Albany,ALH,YABA,-34.944996,117.804,8,AU
Alice International Airport,ALI,KALI,27.75,-98.066666,-6,US
Kortdoorn,ALJ,FAAB,-28.567223,16.536388,2,ZA
Albenga,ALL,LIMG,44.05,8.216667,1,IT
Municipal,ALM,KALM,32.845833,-105.985275,-7,US
Alton,ALN,KALN,38.891666,-90.04833,-6,US
Waterloo,ALO,KALO,42.55611,-92.39972,-6,US
Nejrab,ALP,OSAP,36.185352,37.227074,2,SY
Federal,ALQ,SSLT,-29.799723,-55.763332,-3,BR
Alexandra,ALR,NZLX,-45.21389,169.36945,12,NZ
Municipal,ALS,KALS,37.43667,-105.86667,-7,US
Alula,ALU,HCMA,11.966667,50.8,3,SO
Walla Walla,ALW,KALW,46.094723,-118.291115,-8,US
Thomas C Russell Field,ALX,ALX_,32.933334,-85.95,-6,US
El Nohza,ALY,HEAX,31.192545,29.953058,2,EG
Rick Husband Amarillo International,AMA,KAMA,35.218273,-101.70513,-6,US
Am Timan,AMC,FTTN,11.033333,20.283333,1,TD
Ahmedabad,AMD,VAAH,23.06639,72.62417,5.30,IN
Arba Mintch,AMH,HAAM,6.036111,37.576942,3,ET
Almenara,AMJ,SNAR,-16.183332,-40.683334,-3,BR
Queen Alia International,AMM,OJAI,31.722534,35.98932,2,JO
Gratiot Community,AMN,KAMN,43.38333,-84.65,-5,US
Ampanihy,AMP,FMSY,-24.7,44.733334,3,MG
Pattimura,AMQ,WAPP,-3.704996,128.08888,9,ID
Schiphol,AMS,EHAM,52.30907,4.763385,1,NL
Amata,AMT,YAMT,-26.766666,132.03334,9.30,AU
Amderma,AMV,ULDD,69.76667,61.55,3,RU
Ames,AMW,KAMW,41.994167,-93.61833,-6,US
Ammaroo,AMX,YAMM,-21.74,135.24,9.30,AU
Ardmore,AMZ,NZAR,-37.033333,174.96666,12,NZ
Anniston Metropolitan,ANB,KANB,33.59028,-85.855835,-6,US
Ted Stevens Anchorage International Airport,ANC,PANC,61.174442,-149.99638,-9,US
Anderson,AND,KAND,34.49361,-82.71,-5,US
Marce,ANE,LFJR,47.466667,-0.55,1,FR
Cerro Moreno,ANF,SCFA,-23.449,-70.44079,-4,CL
Brie-Champniers,ANG,LFBU,45.733334,0.216667,1,FR
Aniak,ANI,PANI,61.574398,-159.53697,-9,US
Etimesgut,ANK,LTAD,39.983334,32.833332,3,TR
Antsirabato,ANM,FMNH,-15,50.316666,3,MG
Annette Island,ANN,PANT,55.036945,-131.57056,-9,US
Lee,ANP,KANP,38.983334,-76.5,-5,US
Tri-State Steuben County,ANQ,KANQ,41.63333,-85,-5,US
Deurne/ Antwerp Airport,ANR,EBAW,51.18916,4.450672,1,BE
Andahuaylas,ANS,SPHY,-13.716667,-73.355835,-5,PE
V. C. Bird International,ANU,TAPA,17.108334,-61.76389,-4,AG
Anvik,ANV,PANV,62.647778,-160.18889,-9,US
Ainsworth,ANW,KANW,42.55,-99.86667,-6,US
"Andøya Lufthavn, Andenes",ANX,ENAN,69.30492,16.133326,1,NO
Anthony,ANY,KANY,37.15,-98.03333,-6,US
Altenburg Nobitz,AOC,EDAC,50.983334,12.45,1,DE
Anadolu University,AOE,LTBY,39.81,30.519444,3,TR
Anshan,AOG,ZYAS,41.166668,123.03333,8,CN
Allen County,AOH,KAOH,40.766666,-84.1,-5,US
Falconara,AOI,LIPY,43.60691,13.355723,1,IT
Aomori,AOJ,RJSA,40.738758,140.68922,9,JP
Karpathos,AOK,LGKP,35.420685,27.146729,2,GR
Paso De Los Libres,AOL,SARL,-29.683332,-57.15,-3,AR
Martinsburg,AOO,KAOO,40.297222,-78.32,-5,US
Alor Setar,AOR,WMKA,6.201171,100.405266,8,MY
Corrado Gex,AOT,LIMW,45.73861,7.3625,1,IT
Attopeu,AOU,VLAP,14.8,106.833336,7,LA
Arapahoe Co,APA,KAPA,39.733334,-104.98333,-7,US
Apolo,APB,SLAP,-14.716667,-68.51667,-4,BO
Napa County,APC,KAPC,38.212223,-122.28,-8,US
Naples,APF,KAPF,26.152779,-81.775276,-5,US
Apataki,APK,NTGD,-15.416667,-146.08333,-10,PF
Nampula,APL,FQNP,-15.101667,39.287224,2,MZ
Alpena County Regional,APN,KAPN,45.08167,-83.55583,-5,US
Apartado,APO,SKLC,7.817678,-76.71766,-5,CO
Arapiraca,APQ,SNAL,-9.75,-36.65,-3,BR
Anapolis,APS,SBAN,-16.333332,-48.966667,-3,BR
Apucarana,APU,SSAP,-23.55,-51.483334,-3,BR
Apple Valley,APV,KAPV,34.52639,-117.212776,-8,US
Faleolo,APW,NSFA,-13.832793,-171.99724,13,WS
Arapongas,APX,SSOG,-23.483334,-51.466667,-3,BR
Zapala,APZ,SAHZ,-38.916668,-70.083336,-3,AR
Araraquara,AQA,SBAQ,-21.816668,-48.13333,-3,BR
Quiche Airport,AQB,MGQC,15.01,-91.15,-6,GT
Anqing,AQG,ZSAQ,30.5825,117.0509,8,CN
Qaisumah,AQI,OEPA,28.334408,46.121315,3,SA
King Hussein International,AQJ,OJAQ,29.610073,35.02151,2,JO
Ariquemes,AQM,SWNI,-9.933333,-63.066666,-4,BR
Rodriguez Ballon,AQP,SPQU,-16.344812,-71.56799,-5,PE
Acadiana Regional,ARA,KARA,30.037779,-91.88389,-6,US
Municipal,ARB,KARB,42.3,-83.75,-5,US
Arctic Village,ARC,PARC,68.1375,-145.52444,-9,US
Alor Island,ARD,WATM,-8.683333,124.53333,8,ID
Arecibo,ARE,TJAB,18.45,-66.675835,-4,PR
Walnut Ridge,ARG,KARG,36.066666,-90.95,-6,US
Arkhangelsk,ARH,ULAA,64.594795,40.711903,3,RU
Chacalluta,ARI,SCAR,-18.349766,-70.335556,-4,CL
Arso,ARJ,WAJA,-2.933333,140.78334,9,ID
Arusha,ARK,HTAR,-3.366667,36.683334,3,TZ
Arly,ARL,DFER,11.6,1.483333,,BF
Armidale,ARM,YARM,-30.532297,151.61493,10,AU
Arlanda,ARN,ESSA,59.64982,17.930365,1,SE
Alto Rio Senguerr,ARR,SAVR,-45.033333,-70.833336,-3,AR
Watertown,ART,KART,43.990833,-76.021385,-5,US
Aracatuba,ARU,SBAU,-21.143612,-50.42611,-3,BR
Noble F. Lee,ARV,KARV,45.924168,-89.73222,-6,US
Arad,ARW,LRAR,46.183334,21.266666,2,RO
Ararat,ARY,YARA,-37.316666,143,10,AU
N'zeto,ARZ,FNZE,-7.5,13.5,1,AO
Assab International,ASA,HHSB,13.07,42.638332,3,ER
Ashgabat,ASB,UTAA,37.984184,58.366978,5,TM
Ascension,ASC,SLAS,-15.916667,-63.15,-4,BO
Andros Town,ASD,MYAF,24.697779,-77.79611,-5,BS
Aspen,ASE,KASE,39.219685,-106.864685,-7,US
Astrakhan,ASF,URWA,46.2877,47.999977,3,RU
Ashburton,ASG,NZAS,-43.9,171.78334,12,NZ
Boire Field,ASH,KASH,42.77889,-71.509445,-5,US
Amami,ASJ,RJKA,28.431522,129.70793,9,JP
Yamoussoukro,ASK,DIYO,6.816667,-5.283333,,CI
Harrison County,ASL,KASL,32.55,-94.38333,-6,US
Yohannes IV,ASM,HHAS,15.291111,38.91028,3,ER
Talladega,ASN,KASN,33.433334,-86.1,-6,US
Asosa,ASO,HASO,10.047222,34.536667,3,ET
Alice Springs,ASP,YBAS,-23.80139,133.90338,9.30,AU
Austin,ASQ,KTMT,39.466667,-117.166664,-8,US
Erkilet International Airport,ASR,LTAU,38.7742,35.490707,3,TR
Astoria,AST,KAST,46.15972,-123.88,-8,US
Silvio Pettirossi,ASU,SGAS,-25.241795,-57.513794,-4,PY
Amboseli,ASV,HKAM,-2.633333,37.25,3,KE
Aswan,ASW,HESN,23.968021,32.824818,2,EG
Ashland,ASX,KASX,46.55,-90.916664,-6,US
Anta,ATA,SPHZ,-9.347222,-77.6,-5,PE
Atbara,ATB,HSAT,17.716667,34.016666,3,SD
Arthur's Town,ATC,MYCA,24.62861,-75.67139,-5,BS
Atoifi,ATD,AGAT,-8.866667,161.03334,11,SB
Chachoan,ATF,SEAM,-1.083333,-78.7,-5,EC
"Athens International Airport ""Eleftherios Venizelos""",ATH,LGAV,37.93635,23.946486,2,GR
Artigas,ATI,SUAG,-30.4,-56.50833,-3,UY
Antsirabe,ATJ,FMME,-19.85,47.016666,3,MG
Atqasuk,ATK,PATQ,70.5,-157.33333,-9,US
Hartsfield-jackson Atlanta International,ATL,KATL,33.640068,-84.44403,-5,US
Altamira,ATM,SBHT,-3.2,-52.216667,-3,BR
Airstrip,ATP,AYAI,-3.166667,142.28334,10,PG
Raja Sansi International Airport,ATQ,VIAR,31.706741,74.8073,5.30,IN
Mouakchott,ATR,GQPA,20.499443,-13.046389,,MR
Artesia,ATS,KATS,32.84833,-104.46694,-7,US
Atmautluak,ATT,KATT,60.866943,-162.2675,-9,US
Outagamie County,ATW,KATW,44.26011,-88.50994,-6,US
Watertown,ATY,KATY,44.90889,-97.15417,-6,US
Assiut,ATZ,HEAT,27.033333,31,2,EG
Reina Beatrix,AUA,TNCA,12.502222,-70.013885,-4,AW
Arauca,AUC,SKUC,7.071667,-70.7425,-5,CO
Augustus Downs,AUD,YAGD,-18.506945,139.88167,10,AU
Auxerre Branches,AUF,LFLA,47.85,3.5,1,FR
Augusta,AUG,KAUG,44.318054,-69.79667,-5,US
Abu Dhabi International,AUH,OMAA,24.426912,54.645973,4,AE
Alakanuk,AUK,PAUK,62.689167,-164.61084,-9,US
Austin,AUM,KAUM,43.666668,-92.98333,-6,US
Auburn,AUN,KAUN,38.9,-121.066666,-8,US
Auburn-Opelika,AUO,KAUO,32.63333,-85.5,-6,US
Atuona,AUQ,NTMN,-9.769324,-139.00978,-9:30,PF
Aurillac,AUR,LFLW,44.8975,2.418056,1,FR
Austin-bergstrom International,AUS,KAUS,30.202545,-97.66706,-6,US
Atauro,AUT,WPAT,-8.216667,125.583336,8,ID
Aurukun Mission,AUU,YAUR,-13.166667,142.25,10,AU
Araguaina,AUX,SWGN,-7.2,-48.2,-3,BR
Aneityum,AUY,NVVA,-20.333332,169.66667,11,VU
Municipal Airport,AUZ,KARR,41.75,-88.316666,-6,US
An Shun/Huang Guo Shu,AVA,ZUAS,26.257221,105.87278,8,CN
Aviano,AVB,LIPA,46.033333,12.6,1,IT
Auvergne,AVG,YAUV,-15.65,130.01666,9.30,AU
Maximo Gomez,AVI,MUCA,22.025,-78.79139,-5,CU
Arvaikheer,AVK,ZMAH,46.266666,102.78333,8,MN
Asheville Regional Airport,AVL,KAVL,35.43508,-82.537315,-5,US
Avignon-Caumont,AVN,LFMV,43.9,4.9,1,FR
Municipal,AVO,KAVO,27.6,-81.51667,-5,US
Wilkes-Barre/Scranton International Airport,AVP,KAVP,41.336697,-75.730644,-5,US
Avalon,AVV,YMAV,-38.02637,144.47308,10,AU
Avra Valley,AVW,KAVQ,32.416668,-111.21667,-7,US
Avalon Bay,AVX,KAVX,33.341667,-118.31528,-8,US
Awassa,AWA,HALA,7.061111,38.4875,3,ET
Aniwa,AWD,NVVB,-19.25,169.5,11,VU
Wake Island,AWK,PWAK,19.283333,166.63333,12,UM
Municipal,AWM,KAWM,35.13333,-90.183334,-6,US
Austral Downs,AWP,YAUS,-20.5,137.75,9.30,AU
Ahwaz,AWZ,OIAW,31.34292,48.74668,3.30,IR
Wallblake,AXA,TQPF,18.216667,-63.066666,-4,AI
Aramac,AXC,YAMC,-22.958055,145.2425,10,AU
Dimokritos,AXD,LGAL,40.856785,25.944893,2,GR
Algona,AXG,KAXA,43.066666,-94.23333,-6,US
Ataq,AXK,ODAT,13.866667,46.3,3,YE
Alexandria,AXL,YALX,-19.083332,136.66667,9.30,AU
El Eden,AXM,SKAR,4.452869,-75.76804,-5,CO
Alexandria,AXN,KAXN,45.86722,-95.394165,-6,US
Springpoint Airport,AXP,MYAP,22.45,-73.96667,-5,BS
Arutua,AXR,NTGU,-15.25,-146.75,-10,PF
Municipal,AXS,KAXS,34.696667,-99.33806,-6,US
Akita,AXT,RJSK,39.61177,140.22015,9,JP
Axum,AXU,HAAX,14.120833,38.716667,3,ET
Neil Armstrong,AXV,KAXV,40.566666,-84.2,-5,US
Yaguara,AYG,SKYA,1.533333,-73.933334,-5,CO
Arkalyk,AYK,UAUR,50.316666,66.96667,6,KZ
Anyang,AYN,ZHAY,36.1,114.35,8,CN
Yanamilla,AYP,SPHO,-13.197222,-74.24722,-5,PE
Connellan,AYQ,YAYE,-25.190878,130.97658,9.30,AU
Ayr,AYR,YAYR,-19.596666,147.32445,10,AU
Ware County,AYS,KAYS,31.248611,-82.39667,-5,US
Antalya,AYT,LTAI,36.89928,30.80135,3,TR
Aiyura,AYU,AYAY,-6.333333,145.9,10,PG
Williams Gateway,AZA,KIWA,33.307777,-111.655556,-7,US
Yazd,AZD,OIYY,31.903603,54.283264,3.30,IR
Bateen,AZI,OMAD,24.419167,54.451668,4,AE
Andizhan,AZN,UTKA,40.733334,72.3,5,UZ
Kalamazoo/Battle Creek International,AZO,KAZO,42.239964,-85.55656,-5,US
Adrar,AZR,DAUA,27.883333,-0.283333,1,DZ
Samaná El Catey International,AZS,MDZY,19.270555,-69.736946,-4,DO
Ambriz,AZZ,FNAM,-7.883333,13.15,1,AO
Beale AFB,BAB,KBAB,39.15,-121.583336,-8,US
Barcelonnette,BAE,LFMR,44.38333,6.666667,1,FR
Barnes,BAF,KBAF,42.13333,-72.75,-5,US
Loakan,BAG,RPUB,16.376667,120.617775,8,PH
Bahrain International,BAH,OBBI,26.26918,50.62605,3,BH
Buenos Aires,BAI,MRBA,9.166667,-83.333336,-6,CR
Batman,BAL,LTCJ,37.916668,41.083332,3,TR
Lander County,BAM,BAMB,40.63333,-116.933334,-8,US
Basongo,BAN,FZVR,-4.313333,20.428057,2,CD
E Cortissoz,BAQ,SKBQ,10.886398,-74.77618,-5,CO
Balalae,BAS,AGGE,-6.983333,155.88333,11,SB
Airport Chafei Amsei,BAT,SNBA,-20.55,-48.55,-3,BR
Bauru,BAU,SBBU,-22.343056,-49.0525,1,IT
Baotou,BAV,ZBOW,40.563328,110.0009,8,CN
Barnaul,BAX,UNBB,53.361088,83.547646,6,RU
Baia Mare,BAY,LRBM,47.65,23.466667,2,RO
Barbelos,BAZ,SWBC,-0.966944,-62.933613,-4,BR
Teniente Vidal,BBA,SCBA,-45.916668,-71.695,-4,CL
Municipal,BBB,KBBB,45.316666,-95.6,-6,US
Bay City,BBC,KBYY,28.983334,-95.96667,-6,US
Curtis Field,BBD,KBBD,31.133333,-99.333336,-6,US
Butaritari,BBG,NGTU,3.166667,172.75,12,KI
Barth,BBH,EDBH,54.33972,12.711667,1,DE
Bhubaneswar,BBI,VEBS,20.252853,85.81738,5.30,IN
Bitburg Air Base,BBJ,EDAB,49.966667,6.516667,1,DE
Kasane,BBK,FBKE,-17.816668,25.15,2,BW
Battambang,BBM,VDBG,13.116667,103.2,7,KH
Bario,BBN,WBGZ,3.683333,115.46667,8,MY
Berbera,BBO,HCMI,10.419444,45.00639,3,SO
Bembridge,BBP,EGHJ,50.683334,-1.083333,,GB
Blackbushe,BBS,EGLK,51.333332,-0.85,,GB
Berberati,BBT,FEFT,4.219167,15.788056,1,CF
Baneasa,BBU,LRBS,44.495934,26.080996,2,RO
Hkg,BBV,DIGN,4.666667,-6.95,,CI
Broken Bow,BBW,KBBW,41.4,-99.63333,-6,US
Wings Field,BBX,KLOM,40.136665,-75.2675,-5,US
Bambari,BBY,FEFM,5.845833,20.649721,1,CF
Zambezi,BBZ,FLZB,-13.537222,23.11,2,ZM
Baracoa,BCA,MUBA,20.35,-74.5,-5,CU
Virginia Tech,BCB,KBCB,37.233334,-80.416664,-5,US
Bacolod,BCD,RPVB,10.644815,122.93359,8,PH
Bryce,BCE,KBCE,37.70111,-112.13528,-7,US
Bouca,BCF,FEGU,6.75,18.416668,1,CF
Cakung International,BCH,WPEC,-8.491667,126.39972,9,TL
Barcaldine,BCI,YBAR,-23.559168,145.30194,10,AU
Barra Colorado,BCL,MRBC,10.833333,-82.96667,-6,CR
Bacau,BCM,LRBC,46.59861,26.881945,2,RO
El Prat De Llobregat,BCN,LEBL,41.30303,2.07593,1,ES
Jinka,BCO,HABC,5.783333,36.55,3,ET
Boca Do Acre,BCR,SWNK,-8.75,-67.38333,-4,BR
