airport_name,iata_code,icao_code,latitude,longitude,gmt,country_iso2
Municipal,FUL,KFUL,33.86667,-117.975,-8,US
Funafuti International Airport,FUN,NGFU,-8.516667,179.20833,12,TV
Futuna Island,FUT,NLWF,-14.25,-178.15,12,WF
Fuvahmulak,FVM,VRMR,-0.309444,73.43278,5,MV
Municipal/Baer Field,FWA,KFWA,40.98666,-85.18771,-5,US
Fort Lauderdale Executive,FXE,KFXE,26.066668,-80.15,-5,US
Cuamba,FXO,FQCB,-14.805278,36.526943,2,MZ
Municipal,FXY,KFXY,43.266666,-93.65,-6,US
Faya,FYT,FTTY,17.916668,19.116667,1,TD
Fort Yukon,FYU,PFYU,66.56981,-145.2482,-9,US
Municipal (Drake Field),FYV,KFYV,36.003613,-94.17,-6,US
Gabbs,GAB,KGAB,38.86667,-117.916664,-8,US
Municipal,GAD,KGAD,33.97361,-86.08722,-6,US
Gafsa,GAF,DTTF,34.416668,8.816667,1,TN
Gage,GAG,KGAG,36.35,-99.88333,-6,US
Gayndah,GAH,YGAY,-25.433332,151.48334,10,AU
Montgomery County,GAI,KGAI,39.15,-77.2,-5,US
Junmachi,GAJ,RJSC,38.410645,140.36583,9,JP
Galena,GAL,PAGA,64.73798,-156.94186,-9,US
Gambell,GAM,PAGM,63.776596,-171.71355,-9,US
Gan Airport,GAN,VRMG,-0.690003,73.15654,5,MV
Los Canos,GAO,MUGT,20.084723,-75.15861,-5,CU
Gusap,GAP,AYGP,-6.5,146.33333,10,PG
Gao,GAQ,GAGO,16.248611,-0.001389,,ML
Garissa,GAS,HKGA,-0.45,39.65,3,KE
Tallard,GAT,LFNA,44.55,6.083333,1,FR
Borjhar,GAU,VEGT,26.105982,91.58881,5.30,IN
Gangaw,GAW,VYGG,22.166668,94.13333,6.30,MM
Gaya,GAY,VEGY,24.746668,84.94583,5.30,IN
Gabala,GBB,UBBQ,27,-7.566667,4,AZ
Great Bend,GBD,KGBD,38.34722,-98.86417,-6,US
Sir Seretse Khama International,GBE,FBSK,-24.557981,25.92451,2,BW
Galesburg,GBG,KGBG,40.93861,-90.42889,-6,US
Galbraith Lake,GBH,PAGB,68.46667,-149.48334,-9,US
Gbangbatok,GBK,GFGK,7.8,-12.366667,,SL
Walter J. Koladza Airport,GBR,KGBR,42.2,-73.36667,-5,US
Gorgan,GBT,OING,36.90851,54.410515,3.30,IR
Khashm El Girba,GBU,HSKG,14.926389,35.88889,3,SD
Gibb River,GBV,YGIB,-15.65,126.63333,8,AU
Great Barrier Island,GBZ,NZGB,-36.25,175.41667,12,NZ
Campbell County,GCC,KGCC,44.346355,-105.532684,-7,US
Guernsey,GCI,EGJB,49.432755,-2.595044,,GG
Grand Central,GCJ,FAGC,-26.233334,28.15,2,ZA
Garden City Municipal Airport,GCK,KGCK,37.92861,-100.72972,-6,US
Owen Roberts International,GCM,MWCR,19.29637,-81.35779,-5,KY
National Park,GCN,KGCN,35.951942,-112.1475,-7,US
Municipal,GCY,KGCY,36.216667,-82.85,-5,US
Donaldson Center,GDC,KGYH,34.8,-82.35,-5,US
Gordon Downs,GDD,YGDN,-18.716667,128.55,8,AU
Gode/Iddidole,GDE,HAGO,5.902222,43.628334,3,ET
Magdagachi,GDG,UHBI,53.466667,125.8,9,RU
Gordil,GDI,FEGL,9.733333,21.583332,1,CF
Gandajika,GDJ,FZWC,-6.766667,23.966667,2,CD
Don Miguel Hidalgo y Costilla International,GDL,MMGL,20.525198,-103.29921,-6,MX
Municipal,GDM,KGDM,42.566666,-71.98333,-5,US
Lech Walesa,GDN,EPGD,54.380978,18.468655,1,PL
Vare Maria,GDO,SVGD,7.233333,-70.8,-4,VE
Guadalupe,GDP,SNGD,-6.781944,-43.58167,-3,BR
Gondar,GDQ,HAGN,12.514444,37.445557,3,ET
Grand Turk Island,GDT,MBGT,21.466667,-71.13333,-4,TC
Dawson Community,GDV,KGDV,47.13889,-104.806946,-7,US
Gladwin,GDW,KGDW,43.983334,-84.48333,-5,US
Magadan,GDX,UHMM,59.916668,150.71666,11,RU
Magenta,GEA,NWWM,-22.260536,166.47078,11,NC
Gebe,GEB,WAMJ,0.083333,129.41667,9,ID
Sussex County,GED,KGED,38.68833,-75.3575,-5,US
George Town,GEE,YGTO,-18.283333,143.55,10,AU
Geva Airstrip,GEF,AGEV,-7.578333,156.59778,11,SB
Spokane International,GEG,KGEG,47.62515,-117.537636,-8,US
